id,value
academy,2
workshops,2
times,2
people,2
institute,2
event,2
success,2
states,2
educational,2
expertise,2
competition,2
fun,2
academic,2
around,2
create,2
project,2
headquarters,2
economic,2
ideas,2
experience,2
summer,2
sample,2
next,2
bridge,2
solve,2
lead,2
employment,2
elected,2
areas,2
maximize,2
site,2
goal,2
science,2
ways,2
year,2
email,2
future,2
dedicated,2
offers,2
membership,2
americans,2
staff,2
participants,2
current,2
pci,2
nli,2
vital,2
management,2
lives,2
500,2
postings,2
force,2
exciting,2
requires,2
benefit,2
sessions,2
call,2
problems,2
undergraduate,2
incoming,2
impact,2
executive,2
unique,2
track,2
positively,2
mentoring,2
support,2
advancement,2
technological,2
adopted,2
american,2
uses,2
knowledge,2
helps,2
peers,2
succeed,2
companies,2
attendees,2
enables,2
life,2
using,2
grades,2
innovation,3
events,3
groups,3
preparation,3
calls,3
training,3
one,3
10,3
designed,3
math,3
new,3
addition,3
ten80,3
mathcounts,3
energy,3
internship,3
middle,3
nlc,3
african,3
development,3
organization,3
initiative,3
become,3
activities,3
hackathon,3
candidates,3
supported,3
corporation,3
united,3
mission,3
plan,3
board,3
leaders,3
graduate,4
pre-collegiate,4
seekers,4
center,4
conference,4
strategic,4
compete,4
opportunity,4
country,4
careers,4
partners,4
increase,4
largest,4
0,4
seek,4
learn,4
student,4
design,4
collegiate,4
high,4
serving,4
conferences,4
profession,4
employers,4
regional,5
community,5
teams,5
technology,5
interest,5
number,5
also,5
help,5
stem,5
fair,5
annual,6
work,6
technical,6
convention,6
working,6
opportunities,7
career,7
world,7
college,8
school,8
program,8
programs,8
professionals,9
skills,9
professional,9
job,9
leadership,13
members,15
society,18
engineers,19
black,19
engineering,19
students,20
national,21
nsbe,50
