keywords,value
data domain,5
old opp,4
opp close,3
data protection,3
avamar upgrade,3
hp able,2
additional capacity,2
date 2014,2
date past,2
great work,2
close date,2
brs sales,2
closed date,2
county clerks,2
hp solution,2
sales operations,2
hayes protectcloud,2
counties great,2
working different,2
protectcloud service,2
duplicate opp,2
different strategy,2
customer decided,2
todd seago,1
effort dps,1
qar file,1
financially competitively,1
spend dd,1
dd clerks,1
advizex upgrade,1
data capgemini,1
negative impact,1
organization presented,1
mobile 39,1
numbers assigned,1
plan tidy,1
james great,1
data vault,1
wash rinse,1
cycle ferrari,1
domain customer,1
booked 15,1
uses cases,1
based managed,1
process dimension,1
hcl active,1
requirement location,1
ohl team,1
assigned thomas,1
project consolidated,1
service provides,1
way james,1
files best,1
replacing existing,1
small dd2200,1
partner led,1
position dd,1
ageing tape,1
agency opportunity,1
locations buying,1
875 small,1
funding merger,1
deal getting,1
rfq process,1
domain storage,1
manage operate,1
stayed status,1
wednesday february,1
opportunity controller,1
phone 39,1
come plan,1
backup networker,1
opty consolidated,1
backup capacity,1
dps bruce,1
addition installed,1
challenges migration,1
outstanding job,1
dd customer,1
longer required,1
customer ran,1
growth attempting,1
service based,1
tuesday march,1
dd avamar,1
ib pbba,1
lead team,1
impress customer,1
coming late,1
distorting numbers,1
wilson core,1
zw deal,1
ran challenges,1
europe dps,1
closing oppties,1
adopt backup,1
disruptive way,1
capacity required,1
